TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.010000	931.880953	-662.202607	1023.078098	55.372857	
0.020000	931.877602	-643.329911	1010.963507	55.060064	
0.030000	931.871490	-608.671950	988.716207	54.475730	
0.040000	931.863554	-551.513077	952.026718	53.494082	
0.050000	931.859663	-464.675723	896.292265	51.937440	
0.060000	931.871504	-349.776294	822.557752	49.687970	
0.070000	931.895774	-230.989855	746.336545	47.117353	
0.080000	931.905223	-146.094400	691.856958	45.258719	
0.090000	931.896953	-111.122622	669.406867	44.381069	
0.100000	931.886905	-114.642942	671.659749	44.133637	
0.110000	931.878854	-138.394193	686.898065	44.407971	
0.120000	931.874335	-166.336732	704.828603	45.019831	
0.130000	931.874787	-188.125113	718.812612	45.502436	
0.140000	931.878147	-201.262684	727.246421	45.796933	
0.150000	931.881611	-208.515364	731.903394	45.984938	
0.160000	931.884103	-213.838407	735.321306	46.133944	
0.170000	931.885771	-220.376455	739.518476	46.270838	
0.180000	931.885415	-229.928686	745.648841	46.513954	
0.190000	931.883469	-241.368480	752.989618	46.768170	
0.200000	931.883295	-251.512468	759.499888	46.937294	
0.210000	931.885359	-259.396432	764.561117	47.070149	
0.220000	931.887513	-267.193380	769.566558	47.254314	
0.230000	931.888193	-277.441751	776.144368	47.556753	
0.240000	931.887294	-290.710188	784.659435	47.935125	
0.250000	931.885795	-305.310379	794.028832	48.324759	
0.260000	931.884984	-318.648062	802.588397	48.658803	
0.270000	931.885317	-329.021715	809.246390	48.872960	
0.280000	931.885959	-336.277309	813.903421	49.002273	
0.290000	931.885989	-340.765652	816.784045	49.125977	
0.300000	931.885775	-342.201667	817.705538	49.213515	
0.310000	931.886386	-340.152927	816.391055	49.194330	
0.320000	931.888151	-335.441296	813.368277	49.094478	
0.330000	931.889906	-330.472946	810.180731	49.019572	
0.340000	931.890240	-327.568226	808.316704	48.999923	
0.350000	931.889448	-327.060861	807.990572	49.025491	
0.360000	931.888665	-327.588063	808.328426	49.056427	
0.370000	931.888427	-327.644597	808.364556	49.060958	
0.380000	931.888639	-326.471262	807.611649	49.028636	
0.390000	931.889005	-324.027848	806.043708	48.964180	
0.400000	931.889325	-320.607422	803.848694	48.878098	
0.410000	931.889544	-316.532034	801.233263	48.780151	
0.420000	931.889694	-312.042217	798.351808	48.676518	
0.430000	931.889846	-307.318373	795.320157	48.571446	
0.440000	931.890062	-302.563029	792.268330	48.472978	
0.450000	931.890305	-298.066502	789.382628	48.394359	
0.460000	931.890394	-294.131985	786.857524	48.338120	
0.470000	931.890194	-290.827665	784.736693	48.293459	
0.480000	931.889828	-287.815177	782.803051	48.246430	
0.490000	931.889558	-284.520212	780.688180	48.182884	
0.500000	931.889522	-280.493388	778.103753	48.093948	
0.510000	931.889687	-275.621179	774.976890	47.979208	
0.520000	931.889940	-270.098186	771.432411	47.845018	
0.530000	931.890155	-264.270164	767.692143	47.700986	
0.540000	931.890249	-258.454055	763.959441	47.556767	
0.550000	931.890218	-252.814901	760.340229	47.419467	
0.560000	931.890126	-247.357094	756.837366	47.291384	
0.570000	931.890035	-242.007432	753.403910	47.168803	
0.580000	931.889994	-236.707090	750.002140	47.043866	
0.590000	931.889809	-231.477179	746.645480	46.908797	
0.600000	931.890181	-226.108675	743.200229	46.756637	
0.610000	931.890704	-221.002993	739.923753	46.604827	
0.620000	931.890933	-216.922793	737.305239	46.518588	
0.630000	931.890665	-214.161938	735.533158	46.528026	
0.640000	931.890255	-212.285576	734.328653	46.573779	
0.650000	931.890080	-210.598306	733.245655	46.609148	
0.660000	931.890160	-208.684714	732.017569	46.619766	
0.670000	931.890342	-206.498157	730.614359	46.607763	
0.680000	931.890513	-204.178657	729.125821	46.580665	
0.690000	931.890636	-201.890073	727.657094	46.545925	
0.700000	931.890721	-199.756466	726.287805	46.508571	
0.710000	931.890786	-197.863305	725.072822	46.470978	
0.720000	931.890839	-196.276639	724.054538	46.434058	
0.730000	931.890860	-195.045197	723.264216	46.398551	
0.740000	931.890817	-194.169195	722.701973	46.365229	
0.750000	931.889628	-193.293012	722.138878	46.330606	
0.760000	931.889528	-191.623004	721.067008	46.283586	
0.770000	931.889485	-188.964641	719.360852	46.221287	
0.780000	931.889537	-185.238195	716.969263	46.141729	
0.790000	931.890346	-180.511006	713.935885	46.044206	
0.800000	931.890531	-175.418600	710.667713	45.934908	
0.810000	931.890710	-170.502887	707.512938	45.820229	
0.820000	931.890856	-166.028430	704.641339	45.704642	
0.830000	931.890951	-162.212291	702.192213	45.596865	
0.840000	931.890988	-159.196283	700.256572	45.513066	
0.850000	931.890966	-157.033228	698.868316	45.468469	
0.860000	931.890890	-155.684960	698.002953	45.455183	
0.870000	931.890771	-155.029788	697.582388	45.453746	
0.880000	931.890622	-154.877780	697.484734	45.451534	
0.890000	931.890459	-154.992346	697.558158	45.442184	
0.900000	931.890301	-155.116128	697.637500	45.422517	
0.910000	931.890164	-154.998602	697.561984	45.391120	
0.920000	931.890063	-154.422462	697.192154	45.347737	
0.930000	931.890007	-153.226016	696.424243	45.292956	
0.940000	931.890002	-151.319333	695.200536	45.227996	
0.950000	931.890416	-149.048716	693.743527	45.159308	
0.960000	931.890432	-146.984672	692.418839	45.097214	
0.970000	931.890439	-145.156706	691.245661	45.043005	
0.980000	931.890438	-143.575683	690.230964	44.996991	
0.990000	931.890430	-142.239527	689.373418	44.958699	
1.000000	931.890414	-141.133948	688.663851	44.927172	
1.010000	931.890391	-140.232570	688.085334	44.901255	
1.020000	931.890361	-139.496665	687.613013	44.879710	
1.030000	931.890325	-138.875937	687.214609	44.861190	
1.040000	931.890287	-138.311732	686.852479	44.844220	
1.050000	931.890252	-137.742680	686.487241	44.827279	
1.060000	931.890223	-137.111207	686.081944	44.808940	
1.070000	931.890200	-136.368848	685.605487	44.787999	
1.080000	931.890185	-135.479113	685.034447	44.763540	
1.090000	931.890176	-134.417920	684.353371	44.734933	
1.100000	931.890173	-133.172605	683.554130	44.701782	
1.110000	931.890176	-131.740793	682.635198	44.663871	
1.120000	931.890185	-130.130289	681.601588	44.621139	
1.130000	931.890204	-128.360690	680.465877	44.573699	
1.140000	931.888519	-126.444160	679.234772	44.521792	
1.150000	931.887887	-123.302428	677.218012	44.453120	
1.160000	931.888143	-118.121693	673.893196	44.354460	
1.170000	931.888510	-111.264502	669.492507	44.227943	
1.180000	931.888943	-103.309122	664.387046	44.077904	
1.190000	931.889393	-94.940918	659.016645	43.909786	
1.200000	931.889814	-86.875818	653.840759	43.729977	
1.210000	931.890171	-79.788496	649.292365	43.546031	
1.220000	931.890437	-74.253109	645.739941	43.368117	
1.230000	931.890592	-70.697576	643.458111	43.215547	
1.240000	931.890135	-69.334068	642.582722	43.141802	
1.250000	931.889817	-69.101098	642.432998	43.174611	
1.260000	931.889780	-69.152824	642.466172	43.240681	
1.270000	931.889743	-69.284399	642.550592	43.300954	
1.280000	931.889706	-69.429430	642.643649	43.341395	
1.290000	931.889670	-69.522487	642.703350	43.355105	
1.300000	931.888419	-69.302160	642.561142	43.337667	
1.310000	931.888475	-67.638318	641.493328	43.277382	
1.320000	931.888448	-64.189061	639.279589	43.174926	
1.330000	931.888662	-58.924156	635.900726	43.042282	
1.340000	931.889816	-52.290283	631.643866	42.907556	
1.350000	931.890099	-45.979319	627.593690	42.798664	
1.360000	931.889979	-41.050699	624.430439	42.707745	
1.370000	931.888344	-37.473185	622.133352	42.605846	
1.380000	931.888579	-34.175960	620.017354	42.462647	
1.390000	931.889594	-31.407291	618.241081	42.290808	
1.400000	931.890598	-30.801355	617.852838	42.232105	
1.410000	931.890131	-33.756731	619.749290	42.379569	
1.420000	931.888237	-39.426848	623.387138	42.590817	
1.430000	931.887281	-44.642802	626.734109	42.767194	
1.440000	931.886267	-47.234912	628.397066	42.864265	
1.450000	931.886983	-47.487740	628.559790	42.885745	
1.460000	931.887394	-46.454584	627.896978	42.861449	
1.470000	931.887714	-44.724206	626.786632	42.818732	
1.480000	931.887932	-42.716396	625.498165	42.769758	
1.490000	931.888058	-40.733988	624.225942	42.707655	
1.500000	931.889875	-39.282650	623.295644	42.630375	
1.510000	931.890428	-39.486939	623.427111	42.563269	
1.520000	931.890135	-41.626644	624.800179	42.543512	
1.530000	931.889701	-45.429137	627.240330	42.592286	
