TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.001000	48.948904	-669.251310	460.938765	36.672853	
0.002000	48.948879	-669.148950	460.873055	36.671668	
0.003000	48.948849	-668.991951	460.772274	36.669079	
0.004000	48.948813	-668.779958	460.636194	36.665078	
0.005000	48.948771	-668.512549	460.464546	36.659656	
0.006000	48.948723	-668.189238	460.257015	36.652800	
0.007000	48.948670	-667.809469	460.013246	36.644498	
0.008000	48.948610	-667.372621	459.732840	36.634734	
0.009000	48.948545	-666.878005	459.415355	36.623492	
0.010000	48.948473	-666.324863	459.060304	36.610753	
0.011000	48.948396	-665.712370	458.667158	36.596498	
0.012000	48.948312	-665.039634	458.235345	36.580704	
0.013000	48.948223	-664.305694	457.764246	36.563348	
0.014000	48.948127	-663.509518	457.253202	36.544405	
0.015000	48.948025	-662.650008	456.701506	36.523847	
0.016000	48.947917	-661.725998	456.108409	36.501645	
0.017000	48.947803	-660.736250	455.473119	36.477768	
0.018000	48.947682	-659.679462	454.794797	36.452184	
0.019000	48.947555	-658.554259	454.072565	36.424858	
0.020000	48.947422	-657.359204	453.305496	36.395754	
0.021000	48.947282	-656.092789	452.492625	36.364832	
0.022000	48.947137	-654.753442	451.632943	36.332053	
0.023000	48.946985	-653.339527	450.725399	36.297375	
0.024000	48.946827	-651.849342	449.768901	36.260752	
0.025000	48.946663	-650.281127	448.762320	36.222140	
0.026000	48.946493	-648.633060	447.704487	36.181489	
0.027000	48.946318	-646.903266	446.594197	36.138750	
0.028000	48.946136	-645.089812	445.430211	36.093870	
0.029000	48.945950	-643.190718	444.211259	36.046797	
0.030000	48.945758	-641.203959	442.936040	35.997473	
0.031000	48.945562	-639.127466	441.603227	35.945841	
0.032000	48.945361	-636.959138	440.211471	35.891841	
0.033000	48.945156	-634.696843	438.759406	35.835413	
0.034000	48.944948	-632.338429	437.245649	35.776493	
0.035000	48.944737	-629.881729	435.668811	35.715016	
