TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.001000	-523.886898	-669.266118	93.303951	16.647036	
0.002000	-523.886898	-669.236878	93.285186	16.645444	
0.003000	-523.886897	-669.197189	93.259714	16.643259	
0.004000	-523.886897	-669.147059	93.227541	16.640483	
0.005000	-523.886896	-669.086498	93.188673	16.637115	
0.006000	-523.886896	-669.015513	93.143116	16.633156	
0.007000	-523.886896	-668.934112	93.090873	16.628607	
0.008000	-523.886896	-668.842302	93.031950	16.623466	
0.009000	-523.886895	-668.740089	92.966350	16.617734	
0.010000	-523.886896	-668.627479	92.894077	16.611411	
0.011000	-523.886896	-668.504477	92.815134	16.604497	
0.012000	-523.886896	-668.371087	92.729525	16.596992	
0.013000	-523.886896	-668.227314	92.637251	16.588894	
0.014000	-523.886897	-668.073160	92.538316	16.580204	
0.015000	-523.886897	-667.908630	92.432721	16.570920	
0.016000	-523.886898	-667.733727	92.320468	16.561044	
0.017000	-523.886898	-667.548452	92.201559	16.550573	
0.018000	-523.886899	-667.352809	92.075995	16.539506	
0.019000	-523.886900	-667.146799	91.943778	16.527844	
0.020000	-523.886901	-666.930426	91.804910	16.515585	
0.021000	-523.886901	-666.703690	91.659391	16.502728	
0.022000	-523.886902	-666.466595	91.507224	16.489272	
0.023000	-523.886903	-666.219143	91.348409	16.475216	
0.024000	-523.886904	-665.961336	91.182949	16.460559	
0.025000	-523.886905	-665.693178	91.010845	16.445299	
0.026000	-523.886906	-665.414671	90.832100	16.429435	
0.027000	-523.886907	-665.125821	90.646715	16.412966	
0.028000	-523.886908	-664.826630	90.454695	16.395891	
0.029000	-523.886909	-664.517104	90.256042	16.378208	
0.030000	-523.886910	-664.197250	90.050760	16.359915	
0.031000	-523.886911	-663.867073	89.838853	16.341012	
0.032000	-523.886912	-663.526583	89.620326	16.321495	
0.033000	-523.886913	-663.175786	89.395186	16.301365	
0.034000	-523.886914	-662.814695	89.163438	16.280619	
0.035000	-523.886915	-662.443320	88.925090	16.259256	
0.036000	-523.886915	-662.061674	88.680150	16.237274	
0.037000	-523.886916	-661.669772	88.428628	16.214671	
0.038000	-523.886917	-661.267630	88.170534	16.191446	
0.039000	-523.886917	-660.855267	87.905880	16.167597	
0.040000	-523.886918	-660.432702	87.634679	16.143123	
0.041000	-523.886918	-659.999959	87.356946	16.118022	
0.042000	-523.886918	-659.557060	87.072695	16.092292	
0.043000	-523.886918	-659.104035	86.781944	16.065931	
0.044000	-523.886918	-658.640912	86.484713	16.038939	
0.045000	-523.886918	-658.167723	86.181022	16.011314	
0.046000	-523.886917	-657.684505	85.870894	15.983054	
0.047000	-523.886917	-657.191294	85.554354	15.954158	
0.048000	-523.886916	-656.688134	85.231427	15.924625	
0.049000	-523.886915	-656.175068	84.902144	15.894453	
0.050000	-523.886914	-655.652145	84.566534	15.863641	
0.051000	-523.886913	-655.119416	84.224631	15.832188	
0.052000	-523.886911	-654.576939	83.876472	15.800093	
0.053000	-523.886909	-654.024773	83.522095	15.767355	
0.054000	-523.886907	-653.462982	83.161540	15.733974	
0.055000	-523.886905	-652.891633	82.794852	15.699949	
0.056000	-523.886902	-652.310802	82.422077	15.665278	
0.057000	-523.886899	-651.720564	82.043266	15.629963	
0.058000	-523.886896	-651.121002	81.658471	15.594002	
0.059000	-523.886893	-650.512204	81.267749	15.557396	
0.060000	-523.886889	-649.894263	80.871159	15.520145	
0.061000	-523.886885	-649.267276	80.468763	15.482248	
0.062000	-523.886880	-648.631347	80.060629	15.443707	
0.063000	-523.886875	-647.986585	79.646826	15.404523	
0.064000	-523.886870	-647.333105	79.227428	15.364696	
0.065000	-523.886864	-646.671029	78.802512	15.324227	
0.066000	-523.886858	-646.000482	78.372161	15.283119	
0.067000	-523.886852	-645.321599	77.936460	15.241372	
0.068000	-523.886845	-644.634518	77.495498	15.198989	
0.069000	-523.886838	-643.939388	77.049370	15.155973	
0.070000	-523.886830	-643.236359	76.598174	15.112325	
0.071000	-523.886822	-642.525593	76.142011	15.068049	
0.072000	-523.886813	-641.807255	75.680990	15.023149	
0.073000	-523.886804	-641.081520	75.215221	14.977627	
0.074000	-523.886794	-640.348568	74.744821	14.931489	
0.075000	-523.886784	-639.608588	74.269910	14.884739	
0.076000	-523.886774	-638.861774	73.790614	14.837382	
0.077000	-523.886763	-638.108330	73.307062	14.789424	
0.078000	-523.886752	-637.348465	72.819391	14.740870	
0.079000	-523.886740	-636.582397	72.327738	14.691727	
0.080000	-523.886727	-635.810352	71.832250	14.642003	
0.081000	-523.886714	-635.032561	71.333075	14.591705	
0.082000	-523.886701	-634.249266	70.830367	14.540840	
0.083000	-523.886687	-633.460715	70.324286	14.489419	
0.084000	-523.886672	-632.667162	69.814995	14.437451	
0.085000	-523.886657	-631.868871	69.302664	14.384947	
0.086000	-523.886642	-631.066111	68.787465	14.331917	
0.087000	-523.886626	-630.259162	68.269578	14.278373	
0.088000	-523.886609	-629.448308	67.749185	14.224328	
0.089000	-523.886592	-628.633842	67.226474	14.169796	
0.090000	-523.886575	-627.816063	66.701637	14.114792	
0.091000	-523.886557	-626.995279	66.174871	14.059330	
0.092000	-523.886539	-626.171801	65.646378	14.003428	
0.093000	-523.886520	-625.345952	65.116362	13.947103	
0.094000	-523.886501	-624.518057	64.585034	13.890372	
0.095000	-523.886481	-623.688450	64.052607	13.833257	
0.096000	-523.886461	-622.857469	63.519299	13.775776	
0.097000	-523.886440	-622.025461	62.985332	13.717951	
0.098000	-523.886420	-621.192775	62.450930	13.659803	
0.099000	-523.886398	-620.359768	61.916322	13.601356	
0.100000	-523.886377	-619.526800	61.381740	13.542632	
0.101000	-523.886355	-618.694237	60.847417	13.483654	
0.102000	-523.886333	-617.862450	60.313593	13.424445	
0.103000	-523.886310	-617.031812	59.780507	13.365028	
0.104000	-523.886288	-616.202702	59.248400	13.305427	
0.105000	-523.886265	-615.375499	58.717519	13.245664	
0.106000	-523.886242	-614.550589	58.188109	13.185761	
0.107000	-523.886218	-613.728357	57.660418	13.125741	
0.108000	-523.886195	-612.909192	57.134695	13.065624	
0.109000	-523.886171	-612.093483	56.611191	13.005433	
0.110000	-523.886148	-611.281621	56.090156	12.945188	
0.111000	-523.886124	-610.473999	55.571841	12.884911	
0.112000	-523.886100	-609.671007	55.056498	12.824624	
0.113000	-523.886077	-608.873036	54.544378	12.764347	
0.114000	-523.886053	-608.080478	54.035732	12.704103	
0.115000	-523.886030	-607.293720	53.530808	12.643913	
0.116000	-523.886006	-606.513150	53.029856	12.583800	
0.117000	-523.885983	-605.739153	52.533121	12.523787	
0.118000	-523.885960	-604.972109	52.040850	12.463896	
0.119000	-523.885937	-604.212396	51.553283	12.404153	
0.120000	-523.885915	-603.460389	51.070661	12.344582	
0.121000	-523.885892	-602.716456	50.593222	12.285206	
0.122000	-523.885870	-601.980961	50.121198	12.226054	
0.123000	-523.885849	-601.254263	49.654819	12.167153	
0.124000	-523.885828	-600.536714	49.194311	12.108530	
0.125000	-523.885807	-599.828658	48.739897	12.050218	
0.126000	-523.885787	-599.130435	48.291792	11.992249	
0.127000	-523.885767	-598.442373	47.850209	11.934660	
0.128000	-523.885747	-597.764796	47.415354	11.877489	
0.129000	-523.885729	-597.098016	46.987429	11.820781	
0.130000	-523.885711	-596.442338	46.566628	11.764586	
0.131000	-523.885693	-595.798055	46.153140	11.708959	
0.132000	-523.885676	-595.165452	45.747149	11.653959	
0.133000	-523.885660	-594.544803	45.348828	11.599647	
0.134000	-523.885645	-593.936371	44.958349	11.546081	
0.135000	-523.885630	-593.340408	44.575871	11.493308	
0.136000	-523.885616	-592.757153	44.201548	11.441362	
0.137000	-523.885602	-592.186835	43.835529	11.390263	
0.138000	-523.885590	-591.629670	43.477949	11.340026	
0.139000	-523.885578	-591.085861	43.128942	11.290664	
0.140000	-523.885567	-590.555598	42.788628	11.242194	
0.141000	-523.885557	-590.039060	42.457122	11.194642	
0.142000	-523.885548	-589.536410	42.134529	11.148041	
0.143000	-523.885539	-589.047801	41.820946	11.102437	
0.144000	-523.885532	-588.573370	41.516462	11.057889	
0.145000	-523.885525	-588.113240	41.221157	11.014481	
0.146000	-523.885519	-587.667522	40.935100	10.972325	
0.147000	-523.885514	-587.236314	40.658355	10.931566	
0.148000	-523.885510	-586.819697	40.390974	10.892361	
0.149000	-523.885507	-586.417740	40.133002	10.854807	
0.150000	-523.885504	-586.030500	39.884474	10.818893	
0.151000	-523.885502	-585.658017	39.645416	10.784536	
0.152000	-523.885502	-585.300320	39.415848	10.751648	
0.153000	-523.885502	-584.957423	39.195778	10.720173	
0.154000	-523.885503	-584.629327	38.985206	10.690078	
0.155000	-523.885504	-584.316020	38.784125	10.661352	
0.156000	-523.885507	-584.017476	38.592520	10.633995	
0.157000	-523.885510	-583.733659	38.410364	10.608010	
0.158000	-523.885514	-583.464516	38.237627	10.583405	
0.159000	-523.885519	-583.209985	38.074266	10.560188	
0.160000	-523.885524	-582.969990	37.920234	10.538366	
0.161000	-523.885530	-582.744444	37.775476	10.517945	
0.162000	-523.885537	-582.533248	37.639927	10.498926	
0.163000	-523.885545	-582.336293	37.513516	10.481310	
0.164000	-523.885553	-582.153456	37.396167	10.465092	
0.165000	-523.885562	-581.984607	37.287795	10.450265	
0.166000	-523.885571	-581.829604	37.188308	10.436815	
0.167000	-523.885582	-581.688295	37.097610	10.424727	
0.168000	-523.885592	-581.560518	37.015596	10.413978	
0.169000	-523.885603	-581.446103	36.942158	10.404543	
0.170000	-523.885615	-581.344871	36.877180	10.396390	
0.171000	-523.885627	-581.256634	36.820542	10.389483	
0.172000	-523.885640	-581.181197	36.772118	10.383782	
0.173000	-523.885653	-581.118355	36.731779	10.379248	
0.174000	-523.885666	-581.067900	36.699388	10.375836	
0.175000	-523.885680	-581.029613	36.674807	10.373505	
0.176000	-523.885694	-581.003272	36.657892	10.372215	
0.177000	-523.885708	-580.988646	36.648496	10.371927	
0.178000	-523.885723	-580.985501	36.646468	10.372605	
0.179000	-523.885738	-580.993597	36.651654	10.374218	
0.180000	-523.885753	-581.012687	36.663897	10.376734	
0.181000	-523.885769	-581.042524	36.683036	10.380127	
0.182000	-523.885785	-581.082853	36.708909	10.384373	
0.183000	-523.885800	-581.133418	36.741351	10.389454	
0.184000	-523.885816	-581.193958	36.780195	10.395364	
0.185000	-523.885833	-581.264211	36.825273	10.402140	
0.186000	-523.885849	-581.343909	36.876412	10.410000	
0.187000	-523.885865	-581.432786	36.933443	10.419665	
0.188000	-523.885882	-581.530572	36.996191	10.431097	
0.189000	-523.885898	-581.636996	37.064483	10.443523	
0.190000	-523.885915	-581.751785	37.138144	10.456677	
0.191000	-523.885931	-581.874667	37.216998	10.470473	
0.192000	-523.885948	-582.005367	37.300871	10.484862	
0.193000	-523.885964	-582.143611	37.389585	10.499808	
0.194000	-523.885980	-582.289125	37.482965	10.515278	
0.195000	-523.885997	-582.441637	37.580836	10.531242	
0.196000	-523.886013	-582.600872	37.683022	10.547668	
0.197000	-523.886029	-582.766558	37.789349	10.564528	
0.198000	-523.886045	-582.938424	37.899641	10.581792	
0.199000	-523.886061	-583.116200	38.013727	10.599431	
0.200000	-523.886077	-583.299618	38.131434	10.617416	
0.201000	-523.886093	-583.488410	38.252591	10.635719	
0.202000	-523.886108	-583.682313	38.377027	10.654314	
0.203000	-523.886123	-583.881062	38.504573	10.673171	
0.204000	-523.886139	-584.084398	38.635064	10.692265	
0.205000	-523.886154	-584.292063	38.768333	10.711570	
0.206000	-523.886168	-584.503800	38.904216	10.731060	
0.207000	-523.886183	-584.719359	39.042552	10.750712	
0.208000	-523.886197	-584.938488	39.183179	10.770500	
0.209000	-523.886211	-585.160940	39.325939	10.790404	
0.210000	-523.886225	-585.386474	39.470677	10.810399	
0.211000	-523.886239	-585.614847	39.617237	10.830466	
0.212000	-523.886252	-585.845823	39.765468	10.850585	
0.213000	-523.886266	-586.079169	39.915221	10.870735	
0.214000	-523.886279	-586.314654	40.066346	10.890898	
0.215000	-523.886291	-586.552052	40.218699	10.911057	
0.216000	-523.886304	-586.791141	40.372138	10.931195	
0.217000	-523.886316	-587.031701	40.526521	10.951295	
0.218000	-523.886328	-587.273518	40.681710	10.971343	
0.219000	-523.886340	-587.516380	40.837571	10.991323	
0.220000	-523.886351	-587.760081	40.993970	11.011223	
0.221000	-523.886362	-588.004416	41.150776	11.031027	
0.222000	-523.886373	-588.249186	41.307862	11.050724	
0.223000	-523.886384	-588.494197	41.465103	11.070302	
0.224000	-523.886394	-588.739257	41.622375	11.089749	
0.225000	-523.886405	-588.984179	41.779558	11.109054	
0.226000	-523.886414	-589.228779	41.936536	11.128206	
0.227000	-523.886424	-589.472880	42.093193	11.147196	
0.228000	-523.886433	-589.716305	42.249416	11.166013	
0.229000	-523.886442	-589.958885	42.405097	11.184648	
0.230000	-523.886451	-590.200452	42.560129	11.203094	
0.231000	-523.886460	-590.440844	42.714406	11.221340	
0.232000	-523.886468	-590.679902	42.867828	11.239380	
0.233000	-523.886476	-590.917472	43.020294	11.257205	
0.234000	-523.886484	-591.153404	43.171710	11.274809	
0.235000	-523.886492	-591.387552	43.321980	11.292184	
0.236000	-523.886499	-591.619772	43.471014	11.309324	
0.237000	-523.886506	-591.849927	43.618722	11.326222	
0.238000	-523.886513	-592.077882	43.765018	11.342873	
0.239000	-523.886519	-592.303507	43.909819	11.359271	
0.240000	-523.886526	-592.526675	44.053044	11.375412	
0.241000	-523.886532	-592.747263	44.194613	11.391289	
0.242000	-523.886538	-592.965153	44.334450	11.406898	
0.243000	-523.886543	-593.180230	44.472482	11.422236	
0.244000	-523.886549	-593.392382	44.608637	11.437298	
0.245000	-523.886554	-593.601502	44.742847	11.452082	
0.246000	-523.886559	-593.807486	44.875043	11.466583	
0.247000	-523.886564	-594.010234	45.005163	11.480799	
0.248000	-523.886568	-594.209649	45.133144	11.494727	
0.249000	-523.886573	-594.405638	45.258926	11.508366	
0.250000	-523.886577	-594.598111	45.382453	11.521713	
0.251000	-523.886581	-594.786983	45.503668	11.534767	
0.252000	-523.886585	-594.972172	45.622519	11.547526	
0.253000	-523.886588	-595.153596	45.738954	11.559991	
0.254000	-523.886592	-595.331182	45.852926	11.572159	
0.255000	-523.886595	-595.504856	45.964388	11.584031	
0.256000	-523.886598	-595.674549	46.073294	11.595605	
0.257000	-523.886600	-595.840195	46.179604	11.606883	
0.258000	-523.886603	-596.001731	46.283275	11.617863	
0.259000	-523.886605	-596.159097	46.384270	11.628545	
0.260000	-523.886608	-596.312236	46.482553	11.638929	
0.261000	-523.886610	-596.461094	46.578089	11.649015	
0.262000	-523.886612	-596.605621	46.670845	11.658801	
0.263000	-523.886614	-596.745769	46.760790	11.668287	
0.264000	-523.886615	-596.881493	46.847896	11.677472	
0.265000	-523.886617	-597.012750	46.932135	11.686353	
0.266000	-523.886618	-597.139501	47.013483	11.694929	
0.267000	-523.886619	-597.261710	47.091916	11.703197	
0.268000	-523.886620	-597.379342	47.167411	11.711155	
0.269000	-523.886621	-597.492367	47.239949	11.718800	
0.270000	-523.886622	-597.600755	47.309512	11.726128	
0.271000	-523.886622	-597.704480	47.376082	11.733137	
0.272000	-523.886623	-597.803519	47.439644	11.739823	
0.273000	-523.886623	-597.897850	47.500186	11.746182	
0.274000	-523.886623	-597.987455	47.557694	11.752212	
0.275000	-523.886623	-598.072317	47.612158	11.757907	
0.276000	-523.886623	-598.152423	47.663570	11.763267	
0.277000	-523.886623	-598.227760	47.711921	11.768286	
0.278000	-523.886622	-598.298319	47.757206	11.772963	
0.279000	-523.886622	-598.364093	47.799420	11.777295	
0.280000	-523.886622	-598.425077	47.838559	11.781280	
0.281000	-523.886621	-598.481267	47.874622	11.784915	
0.282000	-523.886620	-598.532663	47.907609	11.788199	
0.283000	-523.886619	-598.579267	47.937520	11.791130	
0.284000	-523.886618	-598.621081	47.964356	11.793707	
0.285000	-523.886617	-598.658111	47.988123	11.795929	
0.286000	-523.886616	-598.690363	48.008823	11.797795	
0.287000	-523.886615	-598.717848	48.026463	11.799306	
0.288000	-523.886613	-598.740576	48.041051	11.800461	
0.289000	-523.886612	-598.758560	48.052594	11.801260	
0.290000	-523.886610	-598.771814	48.061102	11.801704	
0.291000	-523.886609	-598.780356	48.066585	11.801793	
0.292000	-523.886607	-598.784204	48.069055	11.801530	
0.293000	-523.886605	-598.783377	48.068526	11.800914	
0.294000	-523.886603	-598.777898	48.065011	11.799948	
0.295000	-523.886601	-598.767789	48.058524	11.798632	
0.296000	-523.886599	-598.753077	48.049083	11.796970	
0.297000	-523.886597	-598.733788	48.036705	11.794963	
0.298000	-523.886594	-598.709950	48.021407	11.792614	
0.299000	-523.886592	-598.681593	48.003210	11.789925	
0.300000	-523.886590	-598.648749	47.982132	11.786898	
0.301000	-523.886587	-598.611452	47.958196	11.783537	
0.302000	-523.886585	-598.569735	47.931424	11.779845	
0.303000	-523.886582	-598.523635	47.901839	11.775825	
0.304000	-523.886579	-598.473190	47.869465	11.771481	
0.305000	-523.886576	-598.418438	47.834328	11.766815	
0.306000	-523.886574	-598.359422	47.796453	11.761831	
0.307000	-523.886571	-598.296182	47.755867	11.756534	
0.308000	-523.886568	-598.228762	47.712600	11.750926	
0.309000	-523.886564	-598.157207	47.666678	11.745011	
0.310000	-523.886561	-598.081565	47.618133	11.738792	
0.311000	-523.886558	-598.001881	47.566994	11.732274	
0.312000	-523.886555	-597.918206	47.513294	11.725460	
0.313000	-523.886551	-597.830591	47.457065	11.718352	
0.314000	-523.886548	-597.739087	47.398340	11.710954	
0.315000	-523.886544	-597.643747	47.337154	11.703268	
0.316000	-523.886541	-597.544627	47.273541	11.695298	
0.317000	-523.886537	-597.441782	47.207538	11.687047	
0.318000	-523.886533	-597.335269	47.139181	11.678517	
0.319000	-523.886530	-597.225148	47.068507	11.669711	
0.320000	-523.886526	-597.111478	46.995557	11.660633	
0.321000	-523.886522	-596.994320	46.920368	11.651284	
0.322000	-523.886518	-596.873737	46.842981	11.641670	
0.323000	-523.886514	-596.749793	46.763437	11.631792	
0.324000	-523.886509	-596.622553	46.681777	11.621656	
0.325000	-523.886505	-596.492084	46.598045	11.611265	
0.326000	-523.886501	-596.358453	46.512283	11.600624	
0.327000	-523.886497	-596.221728	46.424537	11.589737	
0.328000	-523.886492	-596.081981	46.334850	11.578610	
0.329000	-523.886488	-595.939282	46.243269	11.567247	
0.330000	-523.886483	-595.793704	46.149841	11.555655	
0.331000	-523.886478	-595.645321	46.054612	11.543838	
0.332000	-523.886474	-595.494207	45.957631	11.531803	
