TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.001000	-669.293204	-669.293600	0.000254	0.021524	
0.002000	-669.293204	-669.294096	0.000573	0.035874	
0.003000	-669.293204	-669.294790	0.001018	0.050222	
0.004000	-669.293204	-669.295682	0.001590	0.064570	
0.005000	-669.293204	-669.296772	0.002290	0.078917	
0.006000	-669.293204	-669.298060	0.003117	0.093263	
0.007000	-669.293204	-669.299546	0.004070	0.107608	
0.008000	-669.293204	-669.301230	0.005151	0.121951	
0.009000	-669.293204	-669.303111	0.006359	0.136293	
0.010000	-669.293204	-669.305191	0.007693	0.150633	
0.011000	-669.293204	-669.307468	0.009155	0.164970	
0.012000	-669.293204	-669.309942	0.010743	0.179306	
0.013000	-669.293204	-669.312613	0.012457	0.193638	
0.014000	-669.293204	-669.315482	0.014298	0.207969	
0.015000	-669.293204	-669.318547	0.016265	0.222296	
0.016000	-669.293204	-669.321809	0.018359	0.236620	
0.017000	-669.293204	-669.325268	0.020579	0.250941	
0.018000	-669.293204	-669.328922	0.022924	0.265258	
0.019000	-669.293204	-669.332773	0.025396	0.279572	
0.020000	-669.293204	-669.336820	0.027993	0.293882	
0.021000	-669.293204	-669.341062	0.030715	0.308188	
0.022000	-669.293204	-669.345499	0.033563	0.322490	
0.023000	-669.293204	-669.350132	0.036536	0.336787	
0.024000	-669.293204	-669.354959	0.039634	0.351079	
0.025000	-669.293204	-669.359980	0.042857	0.365367	
0.026000	-669.293204	-669.365196	0.046204	0.379649	
0.027000	-669.293204	-669.370605	0.049676	0.393927	
0.028000	-669.293204	-669.376208	0.053272	0.408199	
0.029000	-669.293204	-669.382004	0.056992	0.422465	
0.030000	-669.293204	-669.387993	0.060835	0.436725	
0.031000	-669.293204	-669.394174	0.064802	0.450979	
0.032000	-669.293204	-669.400547	0.068892	0.465227	
0.033000	-669.293204	-669.407111	0.073105	0.479469	
0.034000	-669.293204	-669.413867	0.077441	0.493704	
0.035000	-669.293204	-669.420813	0.081899	0.507932	
0.036000	-669.293204	-669.427950	0.086479	0.522153	
0.037000	-669.293204	-669.435276	0.091181	0.536367	
0.038000	-669.293204	-669.442792	0.096005	0.550573	
0.039000	-669.293204	-669.450497	0.100950	0.564772	
0.040000	-669.293204	-669.458390	0.106016	0.578963	
0.041000	-669.293204	-669.466471	0.111202	0.593146	
0.042000	-669.293204	-669.474740	0.116509	0.607321	
0.043000	-669.293204	-669.483196	0.121936	0.621487	
0.044000	-669.293204	-669.491838	0.127482	0.635644	
0.045000	-669.293204	-669.500666	0.133148	0.649793	
0.046000	-669.293204	-669.509679	0.138933	0.663933	
0.047000	-669.293205	-669.518877	0.144836	0.678063	
0.048000	-669.293205	-669.528259	0.150857	0.692184	
0.049000	-669.293205	-669.537825	0.156996	0.706296	
0.050000	-669.293205	-669.547573	0.163253	0.720397	
0.051000	-669.293205	-669.557504	0.169627	0.734489	
0.052000	-669.293205	-669.567617	0.176117	0.748570	
0.053000	-669.293205	-669.577911	0.182724	0.762641	
0.054000	-669.293205	-669.588386	0.189446	0.776702	
0.055000	-669.293205	-669.599040	0.196284	0.790751	
0.056000	-669.293205	-669.609873	0.203237	0.804790	
0.057000	-669.293205	-669.620885	0.210304	0.818817	
0.058000	-669.293205	-669.632075	0.217486	0.832833	
0.059000	-669.293205	-669.643442	0.224781	0.846837	
0.060000	-669.293205	-669.654985	0.232189	0.860830	
0.061000	-669.293205	-669.666704	0.239710	0.874810	
0.062000	-669.293205	-669.678597	0.247344	0.888779	
0.063000	-669.293205	-669.690665	0.255089	0.902734	
0.064000	-669.293205	-669.702907	0.262945	0.916678	
0.065000	-669.293205	-669.715321	0.270912	0.930608	
0.066000	-669.293205	-669.727906	0.278990	0.944526	
0.067000	-669.293205	-669.740663	0.287177	0.958430	
0.068000	-669.293205	-669.753591	0.295474	0.972321	
0.069000	-669.293205	-669.766687	0.303879	0.986198	
0.070000	-669.293206	-669.779953	0.312393	1.000062	
0.071000	-669.293206	-669.793386	0.321014	1.013911	
0.072000	-669.293206	-669.806986	0.329743	1.027746	
0.073000	-669.293206	-669.820753	0.338578	1.041567	
0.074000	-669.293206	-669.834684	0.347519	1.055374	
0.075000	-669.293206	-669.848780	0.356566	1.069165	
0.076000	-669.293206	-669.863040	0.365718	1.082942	
0.077000	-669.293206	-669.877462	0.374974	1.096703	
0.078000	-669.293206	-669.892046	0.384334	1.110449	
0.079000	-669.293206	-669.906791	0.393797	1.124180	
0.080000	-669.293206	-669.921695	0.403362	1.137894	
0.081000	-669.293206	-669.936759	0.413030	1.151593	
0.082000	-669.293206	-669.951980	0.422799	1.165275	
0.083000	-669.293206	-669.967359	0.432669	1.178942	
0.084000	-669.293206	-669.982893	0.442639	1.192591	
0.085000	-669.293206	-669.998583	0.452709	1.206224	
0.086000	-669.293206	-670.014427	0.462877	1.219840	
0.087000	-669.293207	-670.030424	0.473144	1.233438	
0.088000	-669.293207	-670.046573	0.483508	1.247020	
0.089000	-669.293207	-670.062873	0.493970	1.260584	
0.090000	-669.293207	-670.079323	0.504527	1.274130	
0.091000	-669.293207	-670.095923	0.515181	1.287658	
0.092000	-669.293207	-670.112670	0.525929	1.301167	
0.093000	-669.293207	-670.129564	0.536772	1.314659	
0.094000	-669.293207	-670.146604	0.547708	1.328132	
0.095000	-669.293207	-670.163789	0.558737	1.341586	
0.096000	-669.293207	-670.181118	0.569858	1.355021	
0.097000	-669.293207	-670.198589	0.581071	1.368438	
0.098000	-669.293207	-670.216202	0.592375	1.381834	
0.099000	-669.293207	-670.233955	0.603769	1.395212	
0.100000	-669.293207	-670.251848	0.615253	1.408569	
0.101000	-669.293207	-670.269879	0.626825	1.421907	
0.102000	-669.293208	-670.288046	0.638485	1.435224	
0.103000	-669.293208	-670.306350	0.650232	1.448521	
0.104000	-669.293208	-670.324789	0.662066	1.461798	
0.105000	-669.293208	-670.343361	0.673985	1.475054	
