TIME [ps]	E_TOT [kJ/mol]	E_POT [kJ/mol]	TEMP. [K]	PRES. [kJ/mol/nm^3]
0.113000	-654.650522	-665.375929	6.883535	4.585558	
0.114000	-654.650521	-665.320328	6.847850	4.573639	
0.115000	-654.650520	-665.264804	6.812216	4.561689	
0.116000	-654.650519	-665.209373	6.776641	4.549711	
0.117000	-654.650518	-665.154050	6.741135	4.537708	
0.118000	-654.650517	-665.098848	6.705708	4.525682	
0.119000	-654.650516	-665.043782	6.670367	4.513636	
0.120000	-654.650516	-664.988868	6.635124	4.501573	
0.121000	-654.650515	-664.934118	6.599986	4.489496	
0.122000	-654.650514	-664.879549	6.564964	4.477408	
0.123000	-654.650513	-664.825174	6.530067	4.465312	
0.124000	-654.650512	-664.771008	6.495304	4.453211	
0.125000	-654.650511	-664.717065	6.460684	4.441110	
0.126000	-654.650510	-664.663361	6.426218	4.429010	
0.127000	-654.650509	-664.609909	6.391913	4.416915	
0.128000	-654.650508	-664.556724	6.357780	4.404828	
0.129000	-654.650508	-664.503820	6.323827	4.392754	
0.130000	-654.650507	-664.451213	6.290064	4.380694	
0.131000	-654.650506	-664.398915	6.256500	4.368654	
0.132000	-654.650505	-664.346943	6.223145	4.356637	
0.133000	-654.650504	-664.295309	6.190007	4.344645	
0.134000	-654.650503	-664.244028	6.157095	4.332684	
0.135000	-654.650502	-664.193114	6.124420	4.320756	
0.136000	-654.650502	-664.142581	6.091989	4.308865	
0.137000	-654.650501	-664.092444	6.059811	4.297016	
0.138000	-654.650500	-664.042716	6.027896	4.285212	
0.139000	-654.650499	-663.993411	5.996253	4.273457	
0.140000	-654.650498	-663.944542	5.964890	4.261756	
0.141000	-654.650497	-663.896124	5.933816	4.250112	
0.142000	-654.650497	-663.848170	5.903040	4.238529	
0.143000	-654.650496	-663.800694	5.872570	4.227011	
0.144000	-654.650495	-663.753708	5.842415	4.215564	
0.145000	-654.650494	-663.707226	5.812584	4.204190	
0.146000	-654.650493	-663.661261	5.783084	4.192895	
0.147000	-654.650493	-663.615826	5.753924	4.181683	
0.148000	-654.650492	-663.570934	5.725113	4.170558	
0.149000	-654.650491	-663.526597	5.696659	4.159525	
0.150000	-654.650490	-663.482828	5.668568	4.148588	
